epoch,accuracy,fbeta_score,loss,precision,recall,val_accuracy,val_fbeta_score,val_loss,val_precision,val_recall
0,0.55058825,0.021032969,0.6865811405462378,0.021249386,0.033541016,0.54818183,0.0,0.6860747285322709,0.0,0.0
1,0.55852944,0.0,0.6826718257455264,0.0,0.0,0.54818183,0.0,0.6845280731808056,0.0,0.0
2,0.55852944,0.0,0.6805765780280618,0.0,0.0,0.54818183,0.0,0.6823953127861023,0.0,0.0
3,0.56,0.037543587,0.6776935069701251,0.07943925,0.015099775,0.59727275,0.45644704,0.6804828039082614,0.6839115,0.21656892
4,0.57735294,0.20863171,0.6732844156377455,0.39078405,0.09868045,0.54818183,0.0,0.6923931245370345,0.0,0.0
5,0.59411764,0.35726413,0.6679785885530359,0.51428956,0.22534926,0.61,0.5092934,0.6670148140733893,0.68285406,0.27577722
6,0.6070588,0.45746753,0.6649153399467468,0.59656316,0.32200524,0.6109091,0.5179438,0.6649707237156954,0.6833787,0.2860883
7,0.6035294,0.49213994,0.6612234241822187,0.6170266,0.35453397,0.6118182,0.54466444,0.6617971006306735,0.60754544,0.41153562
8,0.6132353,0.50493324,0.6588324241077199,0.5992167,0.3842949,0.5209091,0.5333442,0.6919097447395325,0.48801014,0.8782729
9,0.6182353,0.5287908,0.6565011267101063,0.6142017,0.4163887,0.61727273,0.56722325,0.6588236121697859,0.60080266,0.49384645
10,0.61941177,0.5248253,0.6573307483336505,0.60090274,0.4124091,0.6190909,0.5666676,0.658693557435816,0.60260874,0.48802245
11,0.61588234,0.52813834,0.6550572407946867,0.61748326,0.39986205,0.51363635,0.53049964,0.7018525019558993,0.4838606,0.8928033
12,0.6214706,0.5442816,0.6550888242441065,0.61499727,0.4224127,0.61545455,0.5503136,0.6591909770532088,0.6226555,0.40583178
13,0.62441176,0.55532527,0.6543466786777272,0.6272335,0.44164252,0.62,0.58162373,0.662336155501279,0.58123386,0.61026603
